day,hour,overallAQI,status
50,22,52,Moderate
50,23,56,Moderate
51,0,120,Unhealthy
51,1,76,Moderate
51,2,93,Moderate
51,3,91,Moderate
51,4,85,Moderate
51,5,76,Moderate
51,6,103,Unhealthy
51,7,89,Moderate
51,8,55,Moderate
51,9,67,Moderate
51,10,114,Unhealthy
51,11,100,Moderate
51,12,99,Moderate
51,13,50,Good
51,14,122,Unhealthy
51,15,72,Moderate
51,16,68,Moderate
51,17,121,Unhealthy
51,18,74,Moderate
51,19,130,Unhealthy
51,20,93,Moderate
51,21,109,Unhealthy
51,22,77,Moderate
51,23,130,Unhealthy
52,0,108,Unhealthy
52,1,120,Unhealthy
52,2,96,Moderate
52,3,118,Unhealthy
52,4,105,Unhealthy
52,5,123,Unhealthy
52,6,82,Moderate
52,7,88,Moderate
52,8,106,Unhealthy
52,9,52,Moderate
52,10,119,Unhealthy
52,11,70,Moderate
52,12,58,Moderate
52,13,127,Unhealthy
52,14,50,Good
52,15,96,Moderate
52,16,71,Moderate
52,17,87,Moderate
52,18,105,Unhealthy
52,19,52,Moderate
52,20,126,Unhealthy
52,21,126,Unhealthy
52,22,90,Moderate
52,23,73,Moderate
53,0,99,Moderate
53,1,74,Moderate
53,2,88,Moderate
53,3,65,Moderate
53,4,85,Moderate
53,5,53,Moderate
53,6,104,Unhealthy
53,7,119,Unhealthy
53,8,114,Unhealthy
53,9,65,Moderate
53,10,74,Moderate
53,11,88,Moderate
53,12,83,Moderate
53,13,96,Moderate
53,14,84,Moderate
53,15,53,Moderate
53,16,113,Unhealthy
53,17,66,Moderate
53,18,129,Unhealthy
53,19,92,Moderate
53,20,110,Unhealthy
53,21,60,Moderate
53,22,110,Unhealthy
53,23,87,Moderate
54,0,51,Moderate
54,1,77,Moderate
54,2,97,Moderate
54,3,93,Moderate
54,4,105,Unhealthy
54,5,123,Unhealthy
54,6,117,Unhealthy
54,7,80,Moderate
54,8,65,Moderate
54,9,114,Unhealthy
54,10,86,Moderate
54,11,59,Moderate
54,12,90,Moderate
54,13,122,Unhealthy
54,14,85,Moderate
54,15,105,Unhealthy
54,16,128,Unhealthy
54,17,114,Unhealthy
54,18,66,Moderate
54,19,83,Moderate
54,20,113,Unhealthy
54,21,76,Moderate
54,22,55,Moderate
54,23,80,Moderate
55,0,72,Moderate
55,1,117,Unhealthy
55,2,65,Moderate
55,3,76,Moderate
55,4,107,Unhealthy
55,5,113,Unhealthy
55,6,74,Moderate
55,7,94,Moderate
55,8,105,Unhealthy
55,9,50,Good
55,10,73,Moderate
55,11,64,Moderate
55,12,79,Moderate
55,13,128,Unhealthy
55,14,81,Moderate
55,15,90,Moderate
55,16,53,Moderate
55,17,126,Unhealthy
55,18,55,Moderate
55,19,76,Moderate
55,20,74,Moderate
55,21,90,Moderate
55,22,68,Moderate
55,23,58,Moderate
56,0,61,Moderate
56,1,103,Unhealthy
56,2,121,Unhealthy
56,3,63,Moderate
56,4,94,Moderate
56,5,70,Moderate
56,6,99,Moderate
56,7,65,Moderate
56,8,118,Unhealthy
56,9,130,Unhealthy
56,10,69,Moderate
56,11,129,Unhealthy
56,12,106,Unhealthy
56,13,126,Unhealthy
56,14,107,Unhealthy
56,15,122,Unhealthy
56,16,128,Unhealthy
56,17,95,Moderate
56,18,51,Moderate
56,19,121,Unhealthy
56,20,83,Moderate
56,21,80,Moderate
56,22,75,Moderate
56,23,118,Unhealthy
57,0,81,Moderate
57,1,77,Moderate
57,2,105,Unhealthy
57,3,128,Unhealthy
57,4,76,Moderate
57,5,56,Moderate
57,6,53,Moderate
57,7,73,Moderate
57,8,55,Moderate
57,9,75,Moderate
57,10,72,Moderate
57,11,89,Moderate
57,12,94,Moderate
57,13,90,Moderate
57,14,88,Moderate
57,15,130,Unhealthy
57,16,50,Good
57,17,55,Moderate
57,18,72,Moderate
57,19,86,Moderate
57,20,51,Moderate
57,21,52,Moderate
57,22,89,Moderate
57,23,127,Unhealthy
58,0,61,Moderate
58,1,83,Moderate
58,2,83,Moderate
58,3,84,Moderate
58,4,98,Moderate
58,5,75,Moderate
58,6,73,Moderate
58,7,62,Moderate
58,8,53,Moderate
58,9,50,Good
58,10,69,Moderate
58,11,70,Moderate
58,12,100,Moderate
58,13,102,Unhealthy
58,14,54,Moderate
58,15,77,Moderate
58,16,90,Moderate
58,17,109,Unhealthy
58,18,123,Unhealthy
58,19,74,Moderate
58,20,117,Unhealthy
58,21,82,Moderate
58,22,55,Moderate
58,23,104,Unhealthy
59,0,123,Unhealthy
59,1,106,Unhealthy
59,2,61,Moderate
59,3,126,Unhealthy
59,4,63,Moderate
59,5,69,Moderate
59,6,90,Moderate
59,7,109,Unhealthy
59,8,123,Unhealthy
59,9,75,Moderate
59,10,118,Unhealthy
59,11,80,Moderate
59,12,52,Moderate
59,13,109,Unhealthy
59,14,108,Unhealthy
59,15,111,Unhealthy
59,16,99,Moderate
59,17,63,Moderate
59,18,58,Moderate
59,19,96,Moderate
59,20,71,Moderate
59,21,89,Moderate
59,22,107,Unhealthy
59,23,91,Moderate
60,0,107,Unhealthy
60,1,55,Moderate
60,2,80,Moderate
60,3,99,Moderate
60,4,68,Moderate
60,5,125,Unhealthy
60,6,67,Moderate
60,7,115,Unhealthy
60,8,68,Moderate
60,9,111,Unhealthy
60,10,121,Unhealthy
60,11,57,Moderate
60,12,130,Unhealthy
60,13,120,Unhealthy
60,14,69,Moderate
60,15,61,Moderate
60,16,74,Moderate
60,17,99,Moderate
60,18,110,Unhealthy
60,19,66,Moderate
60,20,126,Unhealthy
60,21,78,Moderate
60,22,89,Moderate
60,23,68,Moderate
61,0,128,Unhealthy
61,1,93,Moderate
61,2,111,Unhealthy
61,3,64,Moderate
61,4,122,Unhealthy
61,5,70,Moderate
61,6,59,Moderate
61,7,76,Moderate
61,8,130,Unhealthy
61,9,117,Unhealthy
61,10,64,Moderate
61,11,97,Moderate
61,12,63,Moderate
61,13,97,Moderate
61,14,60,Moderate
61,15,96,Moderate
61,16,50,Good
61,17,59,Moderate
61,18,95,Moderate
61,19,112,Unhealthy
61,20,119,Unhealthy
61,21,116,Unhealthy
61,22,120,Unhealthy
61,23,68,Moderate
62,0,94,Moderate
62,1,74,Moderate
62,2,73,Moderate
62,3,83,Moderate
62,4,57,Moderate
62,5,50,Good
62,6,61,Moderate
62,7,111,Unhealthy
62,8,114,Unhealthy
62,9,74,Moderate
62,10,92,Moderate
62,11,91,Moderate
62,12,91,Moderate
62,13,111,Unhealthy
62,14,101,Unhealthy
62,15,51,Moderate
62,16,119,Unhealthy
62,17,85,Moderate
62,18,122,Unhealthy
62,19,110,Unhealthy
62,20,86,Moderate
62,21,107,Unhealthy
62,22,120,Unhealthy
62,23,73,Moderate
63,0,65,Moderate
63,1,116,Unhealthy
63,2,122,Unhealthy
63,3,115,Unhealthy
63,4,72,Moderate
63,5,109,Unhealthy
63,6,92,Moderate
63,7,124,Unhealthy
63,8,88,Moderate
63,9,61,Moderate
63,10,57,Moderate
63,11,74,Moderate
63,12,62,Moderate
63,13,118,Unhealthy
63,14,102,Unhealthy
63,15,68,Moderate
63,16,94,Moderate
63,17,90,Moderate
63,18,65,Moderate
63,19,101,Unhealthy
63,20,56,Moderate
63,21,123,Unhealthy
63,22,81,Moderate
63,23,113,Unhealthy
64,0,119,Unhealthy
64,1,98,Moderate
64,2,125,Unhealthy
64,3,93,Moderate
64,4,109,Unhealthy
64,5,109,Unhealthy
64,6,103,Unhealthy
64,7,68,Moderate
64,8,119,Unhealthy
64,9,66,Moderate
64,10,83,Moderate
64,11,98,Moderate
64,12,120,Unhealthy
64,13,112,Unhealthy
64,14,66,Moderate
64,15,95,Moderate
64,16,54,Moderate
64,17,50,Good
64,18,54,Moderate
64,19,86,Moderate
64,20,55,Moderate
64,21,65,Moderate
64,22,99,Moderate
64,23,120,Unhealthy
65,0,86,Moderate
65,1,95,Moderate
65,2,59,Moderate
65,3,113,Unhealthy
65,4,104,Unhealthy
65,5,111,Unhealthy
65,6,99,Moderate
65,7,127,Unhealthy
65,8,91,Moderate
65,9,54,Moderate
65,10,50,Good
65,11,54,Moderate
65,12,85,Moderate
65,13,107,Unhealthy
65,14,111,Unhealthy
65,15,123,Unhealthy
65,16,54,Moderate
65,17,124,Unhealthy
65,18,62,Moderate
65,19,78,Moderate
65,20,68,Moderate
65,21,91,Moderate
65,22,106,Unhealthy
65,23,55,Moderate
66,0,93,Moderate
66,1,105,Unhealthy
66,2,104,Unhealthy
66,3,56,Moderate
66,4,111,Unhealthy
66,5,91,Moderate
66,6,109,Unhealthy
66,7,91,Moderate
66,8,98,Moderate
66,9,116,Unhealthy
66,10,125,Unhealthy
66,11,63,Moderate
66,12,53,Moderate
66,13,67,Moderate
66,14,116,Unhealthy
66,15,119,Unhealthy
66,16,98,Moderate
66,17,94,Moderate
66,18,82,Moderate
66,19,89,Moderate
66,20,52,Moderate
66,21,101,Unhealthy
66,22,107,Unhealthy
66,23,128,Unhealthy
67,0,126,Unhealthy
67,1,95,Moderate
67,2,104,Unhealthy
67,3,89,Moderate
67,4,103,Unhealthy
67,5,73,Moderate
67,6,76,Moderate
67,7,104,Unhealthy
67,8,121,Unhealthy
67,9,63,Moderate
67,10,64,Moderate
67,11,52,Moderate
67,12,108,Unhealthy
67,13,89,Moderate
67,14,116,Unhealthy
67,15,118,Unhealthy
67,16,112,Unhealthy
67,17,55,Moderate
67,18,119,Unhealthy
67,19,91,Moderate
67,20,88,Moderate
67,21,51,Moderate
67,22,117,Unhealthy
67,23,95,Moderate
68,0,93,Moderate
68,1,95,Moderate
68,2,81,Moderate
68,3,57,Moderate
68,4,104,Unhealthy
68,5,110,Unhealthy
68,6,80,Moderate
68,7,88,Moderate
68,8,98,Moderate
68,9,127,Unhealthy
68,10,69,Moderate
68,11,50,Good
68,12,89,Moderate
68,13,127,Unhealthy
68,14,72,Moderate
68,15,102,Unhealthy
68,16,60,Moderate
68,17,105,Unhealthy
68,18,88,Moderate
68,19,86,Moderate
68,20,72,Moderate
68,21,115,Unhealthy
68,22,93,Moderate
68,23,96,Moderate
69,0,112,Unhealthy
69,1,111,Unhealthy
69,2,100,Moderate
69,3,100,Moderate
69,4,60,Moderate
69,5,89,Moderate
69,6,79,Moderate
69,7,118,Unhealthy
69,8,76,Moderate
69,9,114,Unhealthy
69,10,128,Unhealthy
69,11,79,Moderate
69,12,52,Moderate
69,13,64,Moderate
69,14,129,Unhealthy
69,15,68,Moderate
69,16,74,Moderate
69,17,93,Moderate
69,18,103,Unhealthy
69,19,110,Unhealthy
69,20,112,Unhealthy
69,21,88,Moderate
69,22,113,Unhealthy
69,23,108,Unhealthy
70,0,56,Moderate
70,1,106,Unhealthy
70,2,68,Moderate
70,3,99,Moderate
70,4,90,Moderate
70,5,67,Moderate
70,6,60,Moderate
70,7,112,Unhealthy
70,8,90,Moderate
70,9,90,Moderate
70,10,87,Moderate
70,11,101,Unhealthy
70,12,96,Moderate
70,13,89,Moderate
70,14,110,Unhealthy
70,15,110,Unhealthy
70,16,75,Moderate
70,17,56,Moderate
70,18,59,Moderate
70,19,58,Moderate
70,20,80,Moderate
70,21,125,Unhealthy
70,22,102,Unhealthy
70,23,81,Moderate
71,0,118,Unhealthy
71,1,74,Moderate
71,2,124,Unhealthy
71,3,84,Moderate
71,4,128,Unhealthy
71,5,120,Unhealthy
71,6,96,Moderate
71,7,96,Moderate
71,8,65,Moderate
71,9,60,Moderate
71,10,66,Moderate
71,11,122,Unhealthy
71,12,68,Moderate
71,13,63,Moderate
71,14,56,Moderate
71,15,96,Moderate
71,16,94,Moderate
71,17,129,Unhealthy
71,18,102,Unhealthy
71,19,60,Moderate
71,20,115,Unhealthy
71,21,125,Unhealthy
71,22,122,Unhealthy
71,23,87,Moderate
72,0,76,Moderate
72,1,122,Unhealthy
72,2,89,Moderate
72,3,76,Moderate
72,4,64,Moderate
72,5,53,Moderate
72,6,57,Moderate
72,7,84,Moderate
72,8,81,Moderate
72,9,86,Moderate
72,10,67,Moderate
72,11,82,Moderate
72,12,71,Moderate
72,13,54,Moderate
72,14,117,Unhealthy
72,15,78,Moderate
72,16,101,Unhealthy
72,17,71,Moderate
72,18,83,Moderate
72,19,101,Unhealthy
72,20,129,Unhealthy
72,21,87,Moderate
72,22,62,Moderate
72,23,130,Unhealthy
73,0,64,Moderate
73,1,80,Moderate
73,2,89,Moderate
73,3,80,Moderate
73,4,115,Unhealthy
73,5,121,Unhealthy
73,6,87,Moderate
73,7,87,Moderate
73,8,128,Unhealthy
73,9,69,Moderate
73,10,58,Moderate
73,11,84,Moderate
73,12,93,Moderate
73,13,115,Unhealthy
73,14,81,Moderate
73,15,84,Moderate
73,16,83,Moderate
73,17,100,Moderate
73,18,101,Unhealthy
73,19,55,Moderate
73,20,121,Unhealthy
73,21,82,Moderate
73,22,119,Unhealthy
73,23,61,Moderate
74,0,50,Good
74,1,125,Unhealthy
74,2,86,Moderate
74,3,79,Moderate
74,4,102,Unhealthy
74,5,111,Unhealthy
74,6,104,Unhealthy
74,7,89,Moderate
74,8,127,Unhealthy
74,9,94,Moderate
74,10,50,Good
74,11,56,Moderate
74,12,130,Unhealthy
74,13,103,Unhealthy
74,14,50,Good
74,15,119,Unhealthy
74,16,68,Moderate
74,17,54,Moderate
74,18,79,Moderate
74,19,96,Moderate
74,20,91,Moderate
74,21,61,Moderate
74,22,130,Unhealthy
74,23,85,Moderate
75,0,56,Moderate
75,1,63,Moderate
75,2,124,Unhealthy
75,3,118,Unhealthy
75,4,70,Moderate
75,5,123,Unhealthy
75,6,107,Unhealthy
75,7,112,Unhealthy
75,8,130,Unhealthy
75,9,68,Moderate
75,10,97,Moderate
75,11,70,Moderate
75,12,94,Moderate
75,13,117,Unhealthy
75,14,82,Moderate
75,15,67,Moderate
75,16,121,Unhealthy
75,17,65,Moderate
75,18,88,Moderate
75,19,128,Unhealthy
75,20,65,Moderate
75,21,59,Moderate
75,22,90,Moderate
75,23,105,Unhealthy
76,0,71,Moderate
76,1,105,Unhealthy
76,2,57,Moderate
76,3,79,Moderate
76,4,115,Unhealthy
76,5,58,Moderate
76,6,75,Moderate
76,7,52,Moderate
76,8,103,Unhealthy
76,9,91,Moderate
76,10,104,Unhealthy
76,11,53,Moderate
76,12,69,Moderate
76,13,115,Unhealthy
76,14,113,Unhealthy
76,15,97,Moderate
76,16,104,Unhealthy
76,17,64,Moderate
76,18,84,Moderate
76,19,96,Moderate
76,20,66,Moderate
76,21,71,Moderate
76,22,76,Moderate
76,23,94,Moderate
77,0,56,Moderate
77,1,113,Unhealthy
77,2,64,Moderate
77,3,122,Unhealthy
77,4,90,Moderate
77,5,127,Unhealthy
77,6,59,Moderate
77,7,68,Moderate
77,8,122,Unhealthy
77,9,114,Unhealthy
77,10,106,Unhealthy
77,11,69,Moderate
77,12,52,Moderate
77,13,113,Unhealthy
77,14,97,Moderate
77,15,97,Moderate
77,16,108,Unhealthy
77,17,74,Moderate
77,18,55,Moderate
77,19,87,Moderate
77,20,76,Moderate
77,21,54,Moderate
77,22,82,Moderate
77,23,124,Unhealthy
78,0,53,Moderate
78,1,93,Moderate
78,2,77,Moderate
78,3,51,Moderate
78,4,128,Unhealthy
78,5,59,Moderate
78,6,93,Moderate
78,7,95,Moderate
78,8,92,Moderate
78,9,111,Unhealthy
78,10,91,Moderate
78,11,90,Moderate
78,12,57,Moderate
78,13,115,Unhealthy
78,14,108,Unhealthy
78,15,109,Unhealthy
78,16,81,Moderate
78,17,53,Moderate
78,18,95,Moderate
78,19,87,Moderate
78,20,95,Moderate
78,21,57,Moderate
78,22,87,Moderate
78,23,96,Moderate
79,0,58,Moderate
79,1,61,Moderate
79,2,113,Unhealthy
79,3,65,Moderate
79,4,122,Unhealthy
79,5,84,Moderate
79,6,106,Unhealthy
79,7,59,Moderate
79,8,78,Moderate
79,9,107,Unhealthy
79,10,97,Moderate
79,11,74,Moderate
79,12,69,Moderate
79,13,80,Moderate
79,14,81,Moderate
79,15,113,Unhealthy
79,16,53,Moderate
79,17,91,Moderate
79,18,83,Moderate
79,19,50,Good
79,20,79,Moderate
79,21,85,Moderate
79,22,64,Moderate
79,23,56,Moderate
80,0,63,Moderate
80,1,80,Moderate
80,2,78,Moderate
80,3,58,Moderate
80,4,127,Unhealthy
80,5,55,Moderate
80,6,65,Moderate
80,7,118,Unhealthy
80,8,117,Unhealthy
80,9,55,Moderate
80,10,103,Unhealthy
80,11,98,Moderate
80,12,125,Unhealthy
80,13,99,Moderate
80,14,104,Unhealthy
80,15,111,Unhealthy
80,16,53,Moderate
80,17,65,Moderate
80,18,107,Unhealthy
80,19,82,Moderate
80,20,123,Unhealthy
80,21,57,Moderate
80,22,91,Moderate
80,23,50,Good
81,0,65,Moderate
81,1,89,Moderate
81,2,101,Unhealthy
81,3,83,Moderate
81,4,71,Moderate
81,5,109,Unhealthy
81,6,106,Unhealthy
81,7,104,Unhealthy
81,8,110,Unhealthy
81,9,73,Moderate
81,10,105,Unhealthy
81,11,121,Unhealthy
81,12,117,Unhealthy
81,13,101,Unhealthy
81,14,111,Unhealthy
81,15,71,Moderate
81,16,91,Moderate
81,17,79,Moderate
81,18,93,Moderate
81,19,71,Moderate
81,20,109,Unhealthy
81,21,58,Moderate
81,22,57,Moderate
81,23,73,Moderate
82,0,64,Moderate
82,1,105,Unhealthy
82,2,74,Moderate
82,3,110,Unhealthy
82,4,72,Moderate
82,5,119,Unhealthy
82,6,59,Moderate
82,7,89,Moderate
82,8,111,Unhealthy
82,9,106,Unhealthy
82,10,129,Unhealthy
82,11,125,Unhealthy
82,12,120,Unhealthy
82,13,101,Unhealthy
82,14,94,Moderate
82,15,108,Unhealthy
82,16,91,Moderate
82,17,129,Unhealthy
82,18,93,Moderate
82,19,117,Unhealthy
82,20,93,Moderate
82,21,85,Moderate
82,22,59,Moderate
82,23,64,Moderate
83,0,108,Unhealthy
83,1,85,Moderate
83,2,64,Moderate
83,3,53,Moderate
83,4,69,Moderate
83,5,77,Moderate
83,6,108,Unhealthy
83,7,54,Moderate
83,8,101,Unhealthy
83,9,106,Unhealthy
83,10,68,Moderate
83,11,74,Moderate
83,12,67,Moderate
83,13,63,Moderate
83,14,68,Moderate
83,15,120,Unhealthy
83,16,53,Moderate
83,17,62,Moderate
83,18,53,Moderate
83,19,84,Moderate
83,20,94,Moderate
83,21,106,Unhealthy
83,22,121,Unhealthy
83,23,76,Moderate
84,0,89,Moderate
84,1,129,Unhealthy
84,2,61,Moderate
84,3,81,Moderate
84,4,130,Unhealthy
84,5,61,Moderate
84,6,53,Moderate
84,7,105,Unhealthy
84,8,66,Moderate
84,9,73,Moderate
84,10,52,Moderate
84,11,100,Moderate
84,12,96,Moderate
84,13,93,Moderate
84,14,118,Unhealthy
84,15,50,Good
84,16,122,Unhealthy
84,17,130,Unhealthy
84,18,101,Unhealthy
84,19,53,Moderate
84,20,89,Moderate
84,21,105,Unhealthy
84,22,80,Moderate
84,23,69,Moderate
85,0,51,Moderate
85,1,124,Unhealthy
85,2,52,Moderate
85,3,72,Moderate
85,4,122,Unhealthy
85,5,69,Moderate
85,6,103,Unhealthy
85,7,92,Moderate
85,8,76,Moderate
85,9,82,Moderate
85,10,76,Moderate
85,11,78,Moderate
85,12,54,Moderate
85,13,108,Unhealthy
85,14,123,Unhealthy
85,15,85,Moderate
85,16,116,Unhealthy
85,17,78,Moderate
85,18,116,Unhealthy
85,19,96,Moderate
85,20,100,Moderate
85,21,92,Moderate
85,22,82,Moderate
85,23,106,Unhealthy
86,0,104,Unhealthy
86,1,124,Unhealthy
86,2,52,Moderate
86,3,111,Unhealthy
86,4,51,Moderate
86,5,87,Moderate
86,6,115,Unhealthy
86,7,90,Moderate
86,8,71,Moderate
86,9,111,Unhealthy
86,10,109,Unhealthy
86,11,75,Moderate
86,12,126,Unhealthy
86,13,82,Moderate
86,14,56,Moderate
86,15,108,Unhealthy
86,16,51,Moderate
86,17,97,Moderate
86,18,65,Moderate
86,19,109,Unhealthy
86,20,119,Unhealthy
86,21,84,Moderate
86,22,91,Moderate
86,23,104,Unhealthy
87,0,64,Moderate
87,1,85,Moderate
87,2,93,Moderate
87,3,86,Moderate
87,4,113,Unhealthy
87,5,66,Moderate
87,6,109,Unhealthy
87,7,75,Moderate
87,8,103,Unhealthy
87,9,85,Moderate
87,10,51,Moderate
87,11,91,Moderate
87,12,56,Moderate
87,13,121,Unhealthy
87,14,68,Moderate
87,15,107,Unhealthy
87,16,98,Moderate
87,17,83,Moderate
87,18,125,Unhealthy
87,19,99,Moderate
87,20,125,Unhealthy
87,21,70,Moderate
87,22,129,Unhealthy
87,23,96,Moderate
88,0,76,Moderate
88,1,89,Moderate
88,2,109,Unhealthy
88,3,107,Unhealthy
88,4,73,Moderate
88,5,126,Unhealthy
88,6,85,Moderate
88,7,89,Moderate
88,8,130,Unhealthy
88,9,97,Moderate
88,10,116,Unhealthy
88,11,106,Unhealthy
88,12,56,Moderate
88,13,107,Unhealthy
88,14,109,Unhealthy
88,15,123,Unhealthy
88,16,115,Unhealthy
88,17,68,Moderate
88,18,116,Unhealthy
88,19,84,Moderate
88,20,118,Unhealthy
88,21,54,Moderate
88,22,72,Moderate
88,23,92,Moderate
89,0,128,Unhealthy
89,1,55,Moderate
89,2,81,Moderate
89,3,123,Unhealthy
89,4,83,Moderate
89,5,108,Unhealthy
89,6,105,Unhealthy
89,7,68,Moderate
89,8,78,Moderate
89,9,124,Unhealthy
89,10,114,Unhealthy
89,11,51,Moderate
89,12,60,Moderate
89,13,129,Unhealthy
89,14,102,Unhealthy
89,15,89,Moderate
89,16,104,Unhealthy
89,17,62,Moderate
89,18,58,Moderate
89,19,128,Unhealthy
89,20,99,Moderate
89,21,105,Unhealthy
89,22,67,Moderate
89,23,112,Unhealthy
90,0,123,Unhealthy
90,1,70,Moderate
90,2,68,Moderate
90,3,117,Unhealthy
90,4,85,Moderate
90,5,73,Moderate
90,6,122,Unhealthy
90,7,122,Unhealthy
90,8,59,Moderate
90,9,124,Unhealthy
90,10,81,Moderate
90,11,105,Unhealthy
90,12,78,Moderate
90,13,58,Moderate
90,14,67,Moderate
90,15,90,Moderate
90,16,88,Moderate
90,17,75,Moderate
90,18,84,Moderate
90,19,52,Moderate
90,20,78,Moderate
90,21,86,Moderate
90,22,102,Unhealthy
90,23,81,Moderate
91,0,65,Moderate
91,1,91,Moderate
91,2,54,Moderate
91,3,126,Unhealthy
91,4,103,Unhealthy
91,5,59,Moderate
91,6,123,Unhealthy
91,7,101,Unhealthy
91,8,83,Moderate
91,9,107,Unhealthy
91,10,64,Moderate
91,11,65,Moderate
91,12,114,Unhealthy
91,13,117,Unhealthy
91,14,62,Moderate
91,15,57,Moderate
91,16,117,Unhealthy
91,17,127,Unhealthy
91,18,76,Moderate
91,19,102,Unhealthy
91,20,66,Moderate
91,21,102,Unhealthy
91,22,67,Moderate
91,23,56,Moderate
92,0,81,Moderate
92,1,83,Moderate
92,2,66,Moderate
92,3,80,Moderate
92,4,102,Unhealthy
92,5,109,Unhealthy
92,6,65,Moderate
92,7,112,Unhealthy
92,8,101,Unhealthy
92,9,62,Moderate
92,10,107,Unhealthy
92,11,120,Unhealthy
92,12,121,Unhealthy
92,13,83,Moderate
92,14,97,Moderate
92,15,73,Moderate
92,16,71,Moderate
92,17,68,Moderate
92,18,82,Moderate
92,19,126,Unhealthy
92,20,95,Moderate
92,21,85,Moderate
92,22,103,Unhealthy
92,23,115,Unhealthy
93,0,56,Moderate
93,1,71,Moderate
93,2,105,Unhealthy
93,3,109,Unhealthy
93,4,113,Unhealthy
93,5,106,Unhealthy
93,6,109,Unhealthy
93,7,59,Moderate
93,8,89,Moderate
93,9,127,Unhealthy
93,10,91,Moderate
93,11,84,Moderate
93,12,60,Moderate
93,13,67,Moderate
93,14,96,Moderate
93,15,75,Moderate
93,16,59,Moderate
93,17,87,Moderate
93,18,71,Moderate
93,19,69,Moderate
93,20,65,Moderate
93,21,78,Moderate
93,22,128,Unhealthy
93,23,127,Unhealthy
94,0,69,Moderate
94,1,67,Moderate
94,2,68,Moderate
94,3,82,Moderate
94,4,127,Unhealthy
94,5,60,Moderate
94,6,85,Moderate
94,7,120,Unhealthy
94,8,128,Unhealthy
94,9,86,Moderate
94,10,65,Moderate
94,11,82,Moderate
94,12,87,Moderate
94,13,98,Moderate
94,14,96,Moderate
94,15,130,Unhealthy
94,16,122,Unhealthy
94,17,72,Moderate
94,18,62,Moderate
94,19,119,Unhealthy
94,20,76,Moderate
94,21,72,Moderate
94,22,112,Unhealthy
94,23,121,Unhealthy
95,0,112,Unhealthy
95,1,88,Moderate
95,2,128,Unhealthy
95,3,77,Moderate
95,4,70,Moderate
95,5,117,Unhealthy
95,6,92,Moderate
95,7,114,Unhealthy
95,8,100,Moderate
95,9,109,Unhealthy
95,10,117,Unhealthy
95,11,58,Moderate
95,12,65,Moderate
95,13,129,Unhealthy
95,14,68,Moderate
95,15,86,Moderate
95,16,63,Moderate
95,17,57,Moderate
95,18,118,Unhealthy
95,19,114,Unhealthy
95,20,50,Good
95,21,88,Moderate
95,22,74,Moderate
95,23,95,Moderate
96,0,92,Moderate
96,1,86,Moderate
96,2,84,Moderate
96,3,69,Moderate
96,4,54,Moderate
96,5,107,Unhealthy
96,6,89,Moderate
96,7,106,Unhealthy
96,8,108,Unhealthy
96,9,73,Moderate
96,10,68,Moderate
96,11,74,Moderate
96,12,85,Moderate
96,13,94,Moderate
96,14,108,Unhealthy
96,15,58,Moderate
96,16,92,Moderate
96,17,122,Unhealthy
96,18,111,Unhealthy
96,19,129,Unhealthy
96,20,93,Moderate
96,21,67,Moderate
96,22,50,Good
96,23,60,Moderate
97,0,102,Unhealthy
97,1,51,Moderate
97,2,83,Moderate
97,3,104,Unhealthy
97,4,82,Moderate
97,5,85,Moderate
97,6,55,Moderate
97,7,98,Moderate
97,8,84,Moderate
97,9,74,Moderate
97,10,91,Moderate
97,11,74,Moderate
97,12,79,Moderate
97,13,54,Moderate
97,14,57,Moderate
97,15,108,Unhealthy
97,16,126,Unhealthy
97,17,93,Moderate
97,18,77,Moderate
97,19,53,Moderate
97,20,82,Moderate
97,21,121,Unhealthy
97,22,97,Moderate
97,23,99,Moderate
98,0,56,Moderate
98,1,118,Unhealthy
98,2,83,Moderate
98,3,69,Moderate
98,4,82,Moderate
98,5,78,Moderate
98,6,57,Moderate
98,7,109,Unhealthy
98,8,82,Moderate
98,9,60,Moderate
98,10,101,Unhealthy
98,11,67,Moderate
98,12,87,Moderate
98,13,127,Unhealthy
98,14,124,Unhealthy
98,15,81,Moderate
98,16,76,Moderate
98,17,103,Unhealthy
98,18,67,Moderate
98,19,67,Moderate
98,20,63,Moderate
98,21,85,Moderate
98,22,84,Moderate
98,23,93,Moderate
99,0,59,Moderate
99,1,67,Moderate
99,2,79,Moderate
99,3,82,Moderate
99,4,86,Moderate
99,5,89,Moderate
99,6,96,Moderate
99,7,123,Unhealthy
99,8,105,Unhealthy
99,9,110,Unhealthy
99,10,57,Moderate
99,11,92,Moderate
99,12,125,Unhealthy
99,13,97,Moderate
99,14,108,Unhealthy
99,15,116,Unhealthy
99,16,52,Moderate
99,17,66,Moderate
99,18,75,Moderate
99,19,97,Moderate
99,20,129,Unhealthy
99,21,53,Moderate
99,22,76,Moderate
99,23,100,Moderate
100,0,67,Moderate
100,1,66,Moderate
100,2,116,Unhealthy
100,3,56,Moderate
100,4,76,Moderate
100,5,105,Unhealthy
100,6,98,Moderate
100,7,57,Moderate
100,8,59,Moderate
100,9,66,Moderate
100,10,89,Moderate
100,11,85,Moderate
100,12,86,Moderate
100,13,55,Moderate
100,14,88,Moderate
100,15,68,Moderate
100,16,104,Unhealthy
100,17,78,Moderate
100,18,92,Moderate
100,19,66,Moderate
